[2021-12-24 21:19:14:0194] | Info     | Manager.cpp              -L2028: [MV_STA_Stop] begin.
[2021-12-24 21:19:14:0194] | Info     | Manager.cpp              -L2044: [MV_STA_Stop] The camera is already stop job. 
[2021-12-24 21:19:14:0194] | Info     | CameraModule.cpp         -L0509: [DeInit] begin.
[2021-12-24 21:19:14:0194] | Error    | CameraModule.cpp         -L0517: [DeInit] MV_CC_StopGrabbing failed, nRet:[0x80000003].
[2021-12-24 21:19:14:0260] | Info     | CameraModule.cpp         -L0531: [DeInit] MV_CC_CloseDevice success.
[2021-12-24 21:19:14:0272] | Info     | CameraModule.cpp         -L0541: [DeInit] MV_CC_DestroyHandle success.
[2021-12-24 21:19:14:0272] | Info     | CameraModule.cpp         -L0553: [DeInit] end success.
[2021-12-24 21:19:14:0272] | Info     | CameraModule.cpp         -L0509: [DeInit] begin.
[2021-12-24 21:19:14:0272] | Info     | CameraModule.cpp         -L0553: [DeInit] end success.
[2021-12-26 16:14:41:0049] | Info     | Manager.cpp              -L4029: ---------------------Start call MvStereoAppCtrl.dll start--------------------
[2021-12-26 16:14:41:0050] | Info     | Manager.cpp              -L4033: Build Time[210514_10:28:03], SDK version[0x1030003].
[2021-12-26 16:14:41:0050] | Info     | Manager.cpp              -L4034: MvStereoAppCtrl.dll path [C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrl.dll]
[2021-12-26 16:14:41:0050] | Info     | Manager.cpp              -L4035: Current ExE path [D:\c++_example\ConnectCamera\x64\Debug\ConnectCamera.exe]
[2021-12-26 16:14:41:0050] | Info     | Manager.cpp              -L4039: Config (C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini) exist .
[2021-12-26 16:14:41:0050] | Info     | Manager.cpp              -L4046: DebugMode[0], nLogSize[100].
[2021-12-26 16:14:41:0050] | Info     | Manager.cpp              -L1686: [Init] Begin.
[2021-12-26 16:14:41:0108] | Info     | Manager.cpp              -L1751: [Init] LoadLaser3DAllFunctions success.
[2021-12-26 16:14:41:0118] | Info     | Manager.cpp              -L1786: [Init] end success.
[2021-12-26 16:14:41:0118] | Info     | Manager.cpp              -L0085: [BindDevice] begin.
[2021-12-26 16:14:41:0118] | Info     | Manager.cpp              -L1645: [CreateHandle] begin.
[2021-12-26 16:14:41:0118] | Info     | CameraModule.cpp         -L0440: [CreateHandle] begin.
[2021-12-26 16:14:41:0118] | Info     | CameraModule.cpp         -L0464: [CreateHandle] Get Gige Sdk version:(0x3040200).
[2021-12-26 16:14:41:0136] | Info     | CameraModule.cpp         -L0494: [CreateHandle] end success.
[2021-12-26 16:14:41:0136] | Info     | Manager.cpp              -L1679: [CreateHandle] end success.
[2021-12-26 16:14:41:0136] | Info     | Manager.cpp              -L0109: [BindDevice] bind device SN[00F94631315] Model[MV-DP2305-01H] ip[0xc0a801d6] SubNetmask[-256] gateway[-1062731266] AdapteIp[0xc0a8010b].
[2021-12-26 16:14:41:0136] | Info     | Manager.cpp              -L0112: [BindDevice] end success.
[2021-12-26 16:14:41:0136] | Info     | Manager.cpp              -L1535: [ConnectDevice] begin.
[2021-12-26 16:14:41:0427] | Info     | CameraModule.cpp         -L0664: [RegisterDwsVolumeEventInfoCallBack] begin.
[2021-12-26 16:14:41:0428] | Info     | CameraModule.cpp         -L0696: [RegisterDwsVolumeEventInfoCallBack] end success.
[2021-12-26 16:14:41:0428] | Info     | Manager.cpp              -L1589: [ConnectDevice] Success register DwsVolume Event.
[2021-12-26 16:14:41:0428] | Info     | Manager.cpp              -L1605: [ConnectDevice] Get m_nNodeCount value[3].
[2021-12-26 16:14:41:0428] | Info     | Manager.cpp              -L1621: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini\BufferNode, value[30].
[2021-12-26 16:14:41:0428] | Info     | Manager.cpp              -L1635: [ConnectDevice] success connect the camera(00F94631315) Model(MV-DP2305-01H) version(V1.1.0 210320 597852) ip(0xc0a801d6) ip type(5) AdaptIp(0xc0a8010b).
[2021-12-26 16:14:41:0428] | Info     | Manager.cpp              -L1638: [ConnectDevice] end success.
[2021-12-26 16:15:27:0960] | Info     | Manager.cpp              -L1800: [DeInit] begin.
[2021-12-26 16:15:27:0960] | Info     | Manager.cpp              -L2028: [MV_STA_Stop] begin.
[2021-12-26 16:15:27:0960] | Info     | Manager.cpp              -L2044: [MV_STA_Stop] The camera is already stop job. 
[2021-12-26 16:15:27:0960] | Info     | CameraModule.cpp         -L0509: [DeInit] begin.
[2021-12-26 16:15:27:0960] | Error    | CameraModule.cpp         -L0517: [DeInit] MV_CC_StopGrabbing failed, nRet:[0x80000003].
[2021-12-26 16:15:28:0048] | Info     | CameraModule.cpp         -L0531: [DeInit] MV_CC_CloseDevice success.
[2021-12-26 16:40:04:0280] | Info     | Manager.cpp              -L4029: ---------------------Start call MvStereoAppCtrl.dll start--------------------
[2021-12-26 16:40:04:0280] | Info     | Manager.cpp              -L4033: Build Time[210514_10:28:03], SDK version[0x1030003].
[2021-12-26 16:40:04:0280] | Info     | Manager.cpp              -L4034: MvStereoAppCtrl.dll path [C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrl.dll]
[2021-12-26 16:40:04:0280] | Info     | Manager.cpp              -L4035: Current ExE path [D:\c++_example\ConnectCamera\x64\Debug\ConnectCamera.exe]
[2021-12-26 16:40:04:0280] | Info     | Manager.cpp              -L4039: Config (C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini) exist .
[2021-12-26 16:40:04:0280] | Info     | Manager.cpp              -L4046: DebugMode[0], nLogSize[100].
[2021-12-26 16:40:04:0281] | Info     | Manager.cpp              -L1686: [Init] Begin.
[2021-12-26 16:40:04:0321] | Info     | Manager.cpp              -L1751: [Init] LoadLaser3DAllFunctions success.
[2021-12-26 16:40:04:0329] | Info     | Manager.cpp              -L1786: [Init] end success.
[2021-12-26 16:40:04:0329] | Info     | Manager.cpp              -L0085: [BindDevice] begin.
[2021-12-26 16:40:04:0329] | Info     | Manager.cpp              -L1645: [CreateHandle] begin.
[2021-12-26 16:40:04:0329] | Info     | CameraModule.cpp         -L0440: [CreateHandle] begin.
[2021-12-26 16:40:04:0329] | Info     | CameraModule.cpp         -L0464: [CreateHandle] Get Gige Sdk version:(0x3040200).
[2021-12-26 16:40:04:0344] | Info     | CameraModule.cpp         -L0494: [CreateHandle] end success.
[2021-12-26 16:40:04:0344] | Info     | Manager.cpp              -L1679: [CreateHandle] end success.
[2021-12-26 16:40:04:0344] | Info     | Manager.cpp              -L0109: [BindDevice] bind device SN[00F94631315] Model[MV-DP2305-01H] ip[0xc0a801d6] SubNetmask[-256] gateway[-1062731266] AdapteIp[0xc0a8010b].
[2021-12-26 16:40:04:0344] | Info     | Manager.cpp              -L0112: [BindDevice] end success.
[2021-12-26 16:40:04:0344] | Info     | Manager.cpp              -L1535: [ConnectDevice] begin.
[2021-12-26 16:40:04:0632] | Info     | CameraModule.cpp         -L0664: [RegisterDwsVolumeEventInfoCallBack] begin.
[2021-12-26 16:40:04:0634] | Info     | CameraModule.cpp         -L0696: [RegisterDwsVolumeEventInfoCallBack] end success.
[2021-12-26 16:40:04:0634] | Info     | Manager.cpp              -L1589: [ConnectDevice] Success register DwsVolume Event.
[2021-12-26 16:40:04:0634] | Info     | Manager.cpp              -L1605: [ConnectDevice] Get m_nNodeCount value[3].
[2021-12-26 16:40:04:0634] | Info     | Manager.cpp              -L1621: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini\BufferNode, value[30].
[2021-12-26 16:40:04:0634] | Info     | Manager.cpp              -L1635: [ConnectDevice] success connect the camera(00F94631315) Model(MV-DP2305-01H) version(V1.1.0 210320 597852) ip(0xc0a801d6) ip type(5) AdaptIp(0xc0a8010b).
[2021-12-26 16:40:04:0634] | Info     | Manager.cpp              -L1638: [ConnectDevice] end success.
[2021-12-26 16:40:55:0981] | Info     | Manager.cpp              -L4029: ---------------------Start call MvStereoAppCtrl.dll start--------------------
[2021-12-26 16:40:55:0983] | Info     | Manager.cpp              -L4033: Build Time[210514_10:28:03], SDK version[0x1030003].
[2021-12-26 16:40:55:0983] | Info     | Manager.cpp              -L4034: MvStereoAppCtrl.dll path [C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrl.dll]
[2021-12-26 16:40:55:0983] | Info     | Manager.cpp              -L4035: Current ExE path [D:\c++_example\ConnectCamera\x64\Debug\ConnectCamera.exe]
[2021-12-26 16:40:55:0983] | Info     | Manager.cpp              -L4039: Config (C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini) exist .
[2021-12-26 16:40:55:0983] | Info     | Manager.cpp              -L4046: DebugMode[0], nLogSize[100].
[2021-12-26 16:40:55:0983] | Info     | Manager.cpp              -L1686: [Init] Begin.
[2021-12-26 16:40:56:0026] | Info     | Manager.cpp              -L1751: [Init] LoadLaser3DAllFunctions success.
[2021-12-26 16:40:56:0035] | Info     | Manager.cpp              -L1786: [Init] end success.
[2021-12-26 16:40:56:0035] | Info     | Manager.cpp              -L0085: [BindDevice] begin.
[2021-12-26 16:40:56:0035] | Info     | Manager.cpp              -L1645: [CreateHandle] begin.
[2021-12-26 16:40:56:0035] | Info     | CameraModule.cpp         -L0440: [CreateHandle] begin.
[2021-12-26 16:40:56:0035] | Info     | CameraModule.cpp         -L0464: [CreateHandle] Get Gige Sdk version:(0x3040200).
[2021-12-26 16:40:56:0055] | Info     | CameraModule.cpp         -L0494: [CreateHandle] end success.
[2021-12-26 16:40:56:0055] | Info     | Manager.cpp              -L1679: [CreateHandle] end success.
[2021-12-26 16:40:56:0055] | Info     | Manager.cpp              -L0109: [BindDevice] bind device SN[00F94631315] Model[MV-DP2305-01H] ip[0xc0a801d6] SubNetmask[-256] gateway[-1062731266] AdapteIp[0xc0a8010b].
[2021-12-26 16:40:56:0055] | Info     | Manager.cpp              -L0112: [BindDevice] end success.
